SampleSite,lat,lon
Aeolus,43.201310,-73.053610
Akron,43.015404,-78.5147906
Charlestown,43.2480016,-72.5363138
Cheshire,42.9259,-72.2364
Chester,42.2793,-72.9787
HailesCave,42.655833,-74.019167
HitherHills,41.0089,-72.0107
Lincoln,42.4259,-71.3039
Milford,42.8354,-71.6490
Nantucket,41.2835,-70.0995
Newfane,42.9857,-72.6559
Pepperell,42.6659,-71.5884
Princeton,42.4487,-71.8773
Rutland,43.6106,-72.9726
SagHarbor,40.9979,-72.2926
Stockbridge,43.7839,-72.7539
Syracuse,43.0481,-76.1474
TompkinsCounty,42.4576,-76.5488
WilliamsMine,41.880000, -74.100000
