sampleID,libPrepAlias,analysisAlias,TCAPbatch,SpeciesID,SamplingState,SampleSite,Collection,WNSgroup,RecapStatus,CollectionDate,InitialCaptureDate,CaptureAge,BandNum,Sex,Collector,Notes,SpeciesPfx,Location,LocationNumber,LocationOrder
2006-VT-02,tcap004,SEpre-tcap004,3,MYSE,VT,Rutland,VHOF,pre,N,6/11/2006,NA,A,NA,F,Scott Darling,NA,SE,VT-Rutland,20,20
2006-VT-01,tcap110,SEpre-tcap110,3,MYSE,VT,Rutland,VHOF,pre,N,6/11/2006,NA,A,NA,M,Scott Darling,NA,SE,VT-Rutland,20,20
2009-EB-517,tcap033,SEpre-tcap033,3,MYSE,NH,Cheshire,VHOF,pre,N,8/17/2008,NA,A,NA,F,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-519,tcap035,SEpre-tcap035,3,MYSE,NH,Cheshire,VHOF,pre,N,8/17/2008,NA,A,NA,F,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-520,tcap036,SEpre-tcap036,3,MYSE,NH,Cheshire,VHOF,pre,N,8/17/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-521,tcap037,SEpre-tcap037,3,MYSE,NH,Cheshire,VHOF,pre,N,8/17/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-522,tcap038,SEpre-tcap038,3,MYSE,NH,Cheshire,VHOF,pre,N,8/17/2008,NA,A,NA,F,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-523,tcap039,SEpre-tcap039,3,MYSE,NH,Cheshire,VHOF,pre,N,8/17/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-524,tcap040,SEpre-tcap040,3,MYSE,NH,Cheshire,VHOF,pre,N,8/17/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-518,tcap145,SEpre-tcap145,3,MYSE,NH,Cheshire,VHOF,pre,N,8/17/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-525,tcap041,SEpre-tcap041,3,MYSE,NH,Cheshire,VHOF,pre,N,8/19/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-526,tcap042,SEpre-tcap042,3,MYSE,NH,Cheshire,VHOF,pre,N,8/28/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-528,tcap044,SEpre-tcap044,3,MYSE,NH,Cheshire,VHOF,pre,N,8/28/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-529,tcap045,SEpre-tcap045,3,MYSE,NH,Cheshire,VHOF,pre,N,8/28/2008,NA,A,NA,F,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-530,tcap046,SEpre-tcap046,3,MYSE,NH,Cheshire,VHOF,pre,N,8/28/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
